Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
69,Male,Master's,Divorced,103790.0,606.0,7569.0,Personal,Unemployed,7,Poor,0.4457097372829611,167752.0,0.0,Christieberg,AK,Gabon,2.0,2,Medium
19,Female,Bachelor's,Divorced,32676.335971497305,607.0,36832.45791122308,Home,Employed,4,Fair,0.5549134201310687,84679.37975507685,0.0,Synthetic,Synthetic,Synthetic,3.0,2,High
35,Female,PhD,Single,39629.0,622.0,9537.0,Home,Unemployed,2,Fair,0.5243581890459524,48636.0,1.0,Desireeville,DC,Sao Tome and Principe,4.0,0,Low
49,Non-binary,Bachelor's,Widowed,113213.82387028346,703.0,57176.42789582332,Business,Employed,30,Good,0.3586642800878658,142313.88863647013,5.0,Synthetic,Synthetic,Synthetic,0.0,0,Medium
18,Male,Master's,Single,91975.0,614.0,7251.0,Business,Unemployed,16,Excellent,0.3030160319769305,204907.0,0.0,Chrisburgh,NV,Switzerland,3.0,2,Low
50,Female,PhD,Divorced,55515.0,717.0,14867.0,Personal,Unemployed,7,Poor,0.4866512604724574,132123.0,2.0,Wheelerfort,MA,Puerto Rico,1.0,2,Medium
65,Female,Bachelor's,Single,68351.0,699.0,44230.0,Auto,Employed,18,Excellent,0.1623289843283944,120917.0,0.0,Turnerside,FM,Angola,0.0,1,Low
56,Female,Master's,Single,21267.0,678.0,36064.0,Personal,Self-employed,17,Excellent,0.5220157746509527,184844.0,3.0,East Kaitlyn,IN,Christmas Island,3.0,0,High
18,Male,Bachelor's,Single,48114.0,610.0,20188.0,Business,Unemployed,8,Excellent,0.1336232091776366,33917.0,2.0,Jameshaven,TX,Tajikistan,1.0,2,Low
23,Female,PhD,Married,27656.149241074694,640.0,46742.199889035575,Personal,Employed,6,Poor,0.48525374612540395,44109.85358675514,1.0,Synthetic,Synthetic,Synthetic,5.0,0,High
50,Non-binary,High School,Married,39906.593200381096,636.0,45868.799759103815,Personal,Employed,10,Poor,0.49929570597230194,62347.05455794053,0.0,Synthetic,Synthetic,Synthetic,3.0,1,High
53,Female,High School,Married,43212.0,629.0,28838.0,Personal,Unemployed,2,Fair,0.3409781974099645,222535.0,4.0,West Desireemouth,KS,Zimbabwe,4.0,1,Low
68,Non-binary,PhD,Widowed,68155.51012181153,615.0,82377.03605776312,Auto,Employed,19,Poor,0.619001579125244,9041.312686511716,0.0,Synthetic,Synthetic,Synthetic,2.0,2,High
28,Male,Bachelor's,Single,94693.0,718.0,20928.0,Business,Unemployed,5,Fair,0.3238498114865585,257028.0,2.0,Josephstad,MP,Georgia,4.0,2,Low
24,Female,PhD,Widowed,62631.0,610.0,15738.0,Business,Unemployed,0,Excellent,0.1675772203640831,240332.0,1.0,South Rebeccaville,TX,Saint Lucia,4.0,0,Medium
60,Male,High School,Divorced,53554.48666310634,619.0,79517.52059982193,Auto,Self-employed,30,Poor,0.6217705421741226,79030.44059923523,3.0,Synthetic,Synthetic,Synthetic,5.0,2,High
65,Male,Bachelor's,Widowed,77995.0,617.0,45315.0,Home,Employed,3,Poor,0.4063417060379554,181800.0,2.0,South Sylvia,TX,Iran,0.0,1,Low
57,Non-binary,Bachelor's,Widowed,113513.0,642.0,22797.0,Personal,Employed,6,Good,0.1839738392043449,285316.0,1.0,South Brian,MH,Reunion,3.0,0,Low
53,Male,Master's,Divorced,21101.919584365955,630.0,34404.546476046766,Personal,Self-employed,35,Fair,0.5673312170300384,75331.72845529403,5.0,Synthetic,Synthetic,Synthetic,5.0,2,High
45,Female,PhD,Married,20206.554013099252,610.0,36519.823343631724,Auto,Employed,17,Poor,0.5255120609133047,7379.407216120338,1.0,Synthetic,Synthetic,Synthetic,4.0,1,High
62,Non-binary,High School,Divorced,128506.66439354805,735.0,39940.37405410798,Auto,Unemployed,6,Good,0.16567731298398086,118622.78995409858,0.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
59,Non-binary,Master's,Single,108713.0,702.0,32577.0,Home,Self-employed,7,Good,0.5271009465366333,60231.0,2.0,Wolfmouth,ID,Costa Rica,4.0,0,Medium
56,Non-binary,PhD,Widowed,46799.0,716.0,46983.0,Personal,Unemployed,5,Poor,0.4700961233298715,155237.0,4.0,South Philip,NJ,Samoa,3.0,0,Medium
64,Non-binary,Bachelor's,Married,86189.0,765.0,40107.0,Auto,Employed,15,Fair,0.4848228346858176,281216.0,3.0,Chentown,LA,Tunisia,4.0,1,Low
58,Female,High School,Divorced,32863.0,757.0,41300.0,Business,Self-employed,1,Fair,0.3950209251257331,72517.0,4.0,Flowersfort,LA,Greece,2.0,0,Medium
32,Non-binary,Master's,Divorced,52359.623829880606,641.0,27375.444321916493,Business,Unemployed,36,Poor,0.4948829791357022,67005.10274234325,0.0,Synthetic,Synthetic,Synthetic,4.0,1,High
35,Non-binary,Bachelor's,Married,58651.23960232696,616.0,88899.90787956418,Auto,Employed,38,Fair,0.558483512448237,66561.56347766299,1.0,Synthetic,Synthetic,Synthetic,2.0,1,High
51,Male,Bachelor's,Married,56864.86503218505,625.0,34461.53374452379,Personal,Self-employed,17,Fair,0.5457867041669604,77835.37064291908,2.0,Synthetic,Synthetic,Synthetic,3.0,1,High
35,Non-binary,PhD,Single,25824.80843835316,620.0,45953.460858835315,Auto,Employed,22,Poor,0.5925700206725797,24618.453633489844,3.0,Synthetic,Synthetic,Synthetic,4.0,1,High
61,Male,High School,Married,28297.569413502213,598.0,17115.076908747917,Auto,Self-employed,25,Fair,0.6867939319672149,85600.94421012013,1.0,Synthetic,Synthetic,Synthetic,4.0,1,High
38,Male,High School,Divorced,76867.28209805556,605.0,101273.37487013073,Personal,Employed,38,Poor,0.6795182356835199,5814.625524085737,2.0,Synthetic,Synthetic,Synthetic,5.0,1,High
42,Female,High School,Divorced,40282.09789612938,614.0,29965.68526205302,Auto,Self-employed,9,Fair,0.46484821024499867,1668.0419794648737,1.0,Synthetic,Synthetic,Synthetic,4.0,1,High
34,Female,Master's,Widowed,55243.740401916984,605.0,102543.19795688732,Business,Unemployed,20,Poor,0.6393148710742756,9913.002156829909,5.0,Synthetic,Synthetic,Synthetic,4.0,0,High
26,Male,Bachelor's,Married,28177.0,751.0,32971.0,Personal,Unemployed,4,Good,0.1819880281845136,150411.0,3.0,Lake Amanda,CA,Luxembourg,0.0,1,Low
20,Male,PhD,Single,82723.13370709676,663.0,58511.44320863513,Business,Unemployed,12,Fair,0.23248543989765452,115971.47630983536,2.0,Synthetic,Synthetic,Synthetic,0.0,1,Medium
67,Female,Bachelor's,Married,26853.697112558657,647.0,45642.563778349315,Business,Self-employed,13,Poor,0.631214040800151,55240.525048221054,4.0,Synthetic,Synthetic,Synthetic,2.0,0,High
32,Non-binary,High School,Widowed,24582.708345194667,585.0,26590.043357949948,Home,Employed,7,Poor,0.6033668216413031,37563.581714844084,0.0,Synthetic,Synthetic,Synthetic,4.0,0,High
41,Male,High School,Widowed,55370.86651116253,592.0,32660.636457306093,Business,Unemployed,23,Fair,0.46543782902259345,39472.08295707265,2.0,Synthetic,Synthetic,Synthetic,5.0,1,High
50,Non-binary,PhD,Married,32470.0,751.0,7653.0,Auto,Self-employed,15,Poor,0.334244455,67346.0,3.0,Osbornemouth,KY,Monaco,1.0,2,Medium
44,Non-binary,High School,Divorced,51174.0,653.0,26596.0,Home,Unemployed,15,Excellent,0.3746350541994034,98975.0,1.0,South Derekport,NJ,Ukraine,2.0,0,Low
69,Female,Bachelor's,Divorced,159819.78377969324,770.0,100308.66937753352,Personal,Employed,27,Excellent,0.172263672157377,316309.14118574676,1.0,Synthetic,Synthetic,Synthetic,0.0,1,Low
27,Female,High School,Single,62851.0,760.0,47262.0,Auto,Unemployed,8,Poor,0.2130593449518719,65663.0,3.0,Johnbury,GA,Argentina,0.0,1,Medium
58,Non-binary,Bachelor's,Married,104873.0,727.0,31035.0,Auto,Employed,6,Fair,0.4232384063449751,133790.0,1.0,Ericaberg,OR,Saint Barthelemy,0.0,2,Low
23,Male,High School,Married,68387.65198068065,594.0,115729.57953385748,Personal,Unemployed,33,Fair,0.5618427696028805,17025.57583511837,0.0,Synthetic,Synthetic,Synthetic,4.0,2,High
52,Female,PhD,Widowed,93638.0,689.0,18241.0,Auto,Self-employed,18,Poor,0.3892565305801894,115327.0,4.0,South Haley,MO,Gabon,3.0,2,Low
22,Non-binary,Bachelor's,Widowed,44363.0,706.0,37864.0,Home,Employed,0,Fair,0.2395753485360832,289832.0,0.0,Meaganfort,MT,Kyrgyz Republic,1.0,1,Low
55,Male,Bachelor's,Widowed,40264.0,760.0,27954.0,Auto,Unemployed,2,Poor,0.4841993509646317,38974.0,2.0,West Alexandria,PW,Japan,4.0,0,High
27,Male,PhD,Married,46878.0,744.0,22396.0,Personal,Unemployed,13,Poor,0.3039397024301065,217719.0,2.0,Lake Isabellamouth,MN,Christmas Island,2.0,2,Medium
61,Female,High School,Married,31899.90444836525,609.0,27660.237400730824,Business,Self-employed,6,Poor,0.5925464732476715,46229.70570374417,5.0,Synthetic,Synthetic,Synthetic,5.0,1,High
27,Male,Bachelor's,Married,82580.0,772.0,21881.0,Auto,Unemployed,5,Good,0.3042663662609967,287630.0,3.0,Lake Peggyfort,SD,Saint Lucia,1.0,1,Low
49,Male,Master's,Single,118315.0,738.0,6839.0,Business,Self-employed,15,Excellent,0.116069996590077,214804.0,1.0,Adrianaborough,NC,Bolivia,4.0,2,Low
64,Female,Master's,Married,97932.0,718.0,5765.0,Home,Employed,15,Poor,0.4820870408954889,154601.0,0.0,Taylortown,OH,Malta,2.0,0,Low
43,Male,Bachelor's,Widowed,107748.0,681.0,47928.0,Business,Self-employed,10,Poor,0.3818071570606661,143735.0,4.0,Lake Diane,DE,Northern Mariana Islands,0.0,0,Low
40,Male,PhD,Married,21625.33212532162,649.0,26181.345387713052,Auto,Self-employed,20,Poor,0.46293820052211304,32771.132564628926,0.0,Synthetic,Synthetic,Synthetic,3.0,2,High
19,Female,Bachelor's,Single,37400.0,715.0,37839.0,Home,Employed,19,Excellent,0.5530790441888509,94113.0,0.0,Ricebury,NY,Iraq,2.0,2,Low
56,Female,High School,Single,31573.0,604.0,36726.0,Personal,Employed,9,Poor,0.3631021709219921,126785.0,4.0,Reynoldsside,VA,Samoa,4.0,1,High
49,Non-binary,High School,Married,32255.313040733985,623.0,49746.978694704056,Business,Employed,26,Poor,0.43181134078177635,97120.79084858783,0.0,Synthetic,Synthetic,Synthetic,4.0,0,High
25,Male,Master's,Married,53179.62445534618,631.0,72314.9014502366,Home,Employed,21,Poor,0.5041369011175573,52690.927090169185,2.0,Synthetic,Synthetic,Synthetic,2.0,0,High
33,Non-binary,Bachelor's,Single,46953.0,627.0,23284.0,Business,Self-employed,7,Good,0.2331527183467255,192563.0,3.0,West Michelle,VA,Monaco,0.0,1,Medium
